replicate,repository,position,notes_added,chars_added,cum_notes,cum_chars
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,5,2,1796,11,10680
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,6,0,0,11,10680
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,7,0,0,11,10680
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,8,0,0,11,10680
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,9,2,1604,13,12284
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,10,3,1511,16,13795
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,11,2,1291,18,15086
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,12,4,2404,22,17490
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,13,1,1517,23,19007
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,14,4,2783,27,21790
ctxlimit-shuffle1,paperless-ngx/paperless-ngx,15,3,1468,30,23258
ctxlimit-shuffle1,simple-login/app,1,3,2900,3,2900
ctxlimit-shuffle1,simple-login/app,2,1,614,4,3514
ctxlimit-shuffle1,simple-login/app,3,0,0,4,3514
ctxlimit-shuffle1,simple-login/app,4,0,0,4,3514
ctxlimit-shuffle1,simple-login/app,5,1,1315,5,4829
ctxlimit-shuffle1,simple-login/app,6,1,1107,6,5936
ctxlimit-shuffle1,simple-login/app,7,4,2028,10,7964
ctxlimit-shuffle1,simple-login/app,8,2,1626,12,9590
ctxlimit-shuffle1,simple-login/app,9,1,674,13,10264
ctxlimit-shuffle1,simple-login/app,10,3,1252,16,11516
ctxlimit-shuffle1,simple-login/app,11,1,1472,17,12988
ctxlimit-shuffle1,simple-login/app,12,0,0,17,12988
ctxlimit-shuffle1,simple-login/app,13,0,0,17,12988
ctxlimit-shuffle1,simple-login/app,14,1,557,18,13545
ctxlimit-shuffle1,simple-login/app,15,4,3336,22,16881
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,1,6,5072,6,5072
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,2,3,2382,9,7454
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,3,1,1703,10,9157
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,4,3,2873,13,12030
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,5,8,6309,21,18339
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,6,0,0,21,18339
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,7,1,695,22,19034
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,8,2,1162,24,20196
