replicate,arm,task_id,position,compaction_count,timed_out_during_compaction
pilot30,repo-scope,task-6905333b74f22949d97ba9d8,9,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9d9,10,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9db,11,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9dc,12,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9dd,13,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9de,14,0,False
pilot30,repo-scope,task-6905333b74f22949d97ba9e0,15,0,False
shuffle1,control,task-6905333b74f22949d97ba9ac,1,0,False
shuffle1,control,task-6905333b74f22949d97ba9ae,2,0,False
shuffle1,control,task-6905333b74f22949d97ba9af,3,0,False
shuffle1,control,task-6905333b74f22949d97ba9ad,4,0,False
shuffle1,control,task-6905333b74f22949d97baa1d,5,0,False
shuffle1,control,task-6905333b74f22949d97ba9a5,6,0,False
shuffle1,control,task-6905333b74f22949d97ba9e8,7,0,False
shuffle1,control,task-6905333b74f22949d97ba9aa,8,0,False
shuffle1,control,task-6905333b74f22949d97ba9ab,9,0,False
shuffle1,control,task-6905333b74f22949d97ba9a8,10,0,False
shuffle1,control,task-6905333b74f22949d97ba9b2,11,0,False
shuffle1,control,task-6905333b74f22949d97ba9a4,12,0,False
shuffle1,control,task-6905333b74f22949d97ba9a9,13,0,False
shuffle1,control,task-6905333b74f22949d97ba9a6,14,0,False
shuffle1,control,task-6905333b74f22949d97ba9a7,15,0,False
shuffle1,control,task-6905333b74f22949d97ba9d3,1,0,False
shuffle1,control,task-6905333b74f22949d97ba9e0,2,0,False
shuffle1,control,task-6905333b74f22949d97ba9dd,3,0,False
shuffle1,control,task-6905333b74f22949d97ba9d7,4,0,False
shuffle1,control,task-6905333b74f22949d97ba9d2,5,0,False
shuffle1,control,task-6905333b74f22949d97ba9d9,6,0,False
shuffle1,control,task-6905333b74f22949d97ba9db,7,0,False
shuffle1,control,task-6905333b74f22949d97ba9d8,8,0,False
shuffle1,control,task-6905333b74f22949d97ba9d6,9,0,False
shuffle1,control,task-6905333b74f22949d97ba9dc,10,0,False
shuffle1,control,task-6905333b74f22949d97ba9de,11,0,False
shuffle1,control,task-6905333b74f22949d97ba9d0,12,0,False
shuffle1,control,task-6905333b74f22949d97ba9d1,13,0,False
shuffle1,control,task-6905333b74f22949d97ba9d4,14,0,False
shuffle1,control,task-6905333b74f22949d97ba9d5,15,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9ac,1,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9ae,2,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9af,3,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9ad,4,0,False
shuffle1,task-scope,task-6905333b74f22949d97baa1d,5,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9a5,6,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9e8,7,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9aa,8,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9ab,9,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9a8,10,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9b2,11,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9a4,12,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9a9,13,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9a6,14,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9a7,15,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9d3,1,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9e0,2,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9dd,3,0,False
shuffle1,task-scope,task-6905333b74f22949d97ba9d7,4,0,False
